"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	% of Total Deaths
	"30-34 years"	"30-34"	"Microcephaly"	"Q02"	33	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Congenital hydrocephalus, unspecified"	"Q03.9"	44	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Other reduction deformities of brain"	"Q04.3"	10	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Congenital cerebral cysts"	"Q04.6"	17	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Congenital malformation of brain, unspecified"	"Q04.9"	17	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Unspecified spina bifida with hydrocephalus"	"Q05.4"	40	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Spina bifida, unspecified"	"Q05.9"	176	227330011	0.1	0.1	0.1	0.0	0.0%
	"30-34 years"	"30-34"	"Arnold-Chiari syndrome"	"Q07.0"	45	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Discordant ventriculoarterial connection"	"Q20.3"	18	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Other congenital malformations of cardiac chambers and connections"	"Q20.8"	18	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Ventricular septal defect"	"Q21.0"	30	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Atrial septal defect"	"Q21.1"	49	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Atrioventricular septal defect"	"Q21.2"	23	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Tetralogy of Fallot"	"Q21.3"	78	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Other congenital malformations of cardiac septa"	"Q21.8"	36	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Congenital tricuspid stenosis"	"Q22.4"	13	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Congenital insufficiency of aortic valve"	"Q23.1"	13	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Malformation of coronary vessels"	"Q24.5"	92	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Other specified congenital malformations of heart"	"Q24.8"	21	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Congenital malformation of heart, unspecified"	"Q24.9"	323	227330011	0.1	0.1	0.2	0.0	0.0%
	"30-34 years"	"30-34"	"Atresia of pulmonary artery"	"Q25.5"	15	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Peripheral arteriovenous malformation"	"Q27.3"	42	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Congenital malformation of peripheral vascular system, unspecified"	"Q27.9"	12	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Arteriovenous malformation of cerebral vessels"	"Q28.2"	33	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Other malformations of cerebral vessels"	"Q28.3"	10	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Atresia of bile ducts"	"Q44.2"	15	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Polycystic kidney, unspecified"	"Q61.3"	28	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Osteogenesis imperfecta"	"Q78.0"	15	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Ehlers-Danlos syndrome"	"Q79.6"	24	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Neurofibromatosis (nonmalignant)"	"Q85.0"	79	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Tuberous sclerosis"	"Q85.1"	26	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Other phakomatoses, not elsewhere classified"	"Q85.8"	10	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Congenital malformation syndromes predominantly associated with short stature"	"Q87.1"	39	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Marfan syndrome"	"Q87.4"	56	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Other specified congenital malformation syndromes, not elsewhere classified"	"Q87.8"	16	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Multiple congenital malformations, not elsewhere classified"	"Q89.7"	10	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Other specified congenital malformations"	"Q89.8"	15	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Congenital malformation, unspecified"	"Q89.9"	24	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Down syndrome, unspecified"	"Q90.9"	214	227330011	0.1	0.1	0.1	0.0	0.0%
	"30-34 years"	"30-34"	"Other deletions of part of a chromosome"	"Q93.5"	12	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Turner syndrome, unspecified"	"Q96.9"	22	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Haemorrhage from other sites in respiratory passages"	"R04.8"	13	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Dyspnoea"	"R06.0"	14	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Asphyxia"	"R09.0"	26	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Respiratory arrest"	"R09.2"	61	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Other and unspecified convulsions"	"R56.8"	812	227330011	0.4	0.3	0.4	0.0	0.0%
	"30-34 years"	"30-34"	"Cardiogenic shock"	"R57.0"	24	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Other shock"	"R57.8"	13	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Shock, unspecified"	"R57.9"	24	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Haemorrhage, not elsewhere classified"	"R58"	30	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Anorexia"	"R63.0"	12	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Other specified general symptoms and signs"	"R68.8"	44	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Instantaneous death"	"R96.0"	25	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Unattended death"	"R98"	11	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Other ill-defined and unspecified causes of mortality"	"R99"	3492	227330011	1.5	1.5	1.6	0.0	0.0%
	"30-34 years"	"30-34"	"Terrorism involving destruction of aircraft"	"U01.1"	110	227330011	0.0	0.0	0.1	0.0	0.0%
	"30-34 years"	"30-34"	"COVID-19"	"U07.1"	509	227330011	0.2	0.2	0.2	0.0	0.0%
	"30-34 years"	"30-34"	"Pedestrian injured in collision with car, pick-up truck or van, nontraffic accident"	"V03.0"	40	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Pedestrian injured in collision with car, pick-up truck or van, traffic accident"	"V03.1"	882	227330011	0.4	0.4	0.4	0.0	0.0%
	"30-34 years"	"30-34"	"Pedestrian injured in collision with heavy transport vehicle or bus, traffic accident"	"V04.1"	91	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Pedestrian injured in collision with railway train or railway vehicle, nontraffic accident"	"V05.0"	16	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Pedestrian injured in collision with railway train or railway vehicle, traffic accident"	"V05.1"	11	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Unspecified whether traffic or nontraffic accident"	"V05.9"	94	227330011	0.0	0.0	0.1	0.0	0.0%
	"30-34 years"	"30-34"	"Pedestrian injured in nontraffic accident involving other and unspecified motor vehicles"	"V09.0"	37	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Pedestrian injured in unspecified nontraffic accident"	"V09.1"	35	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Pedestrian injured in traffic accident involving other and unspecified motor vehicles"	"V09.2"	1050	227330011	0.5	0.4	0.5	0.0	0.0%
	"30-34 years"	"30-34"	"Pedestrian injured in unspecified traffic accident"	"V09.3"	18	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Pedestrian injured in unspecified transport accident"	"V09.9"	38	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Pedal cyclist injured in collision with car, pick-up truck or van, driver injured in traffic accident"	"V13.4"	25	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Pedal cyclist injured in collision with car, pick-up truck or van, unspecified pedal cyclist injured in traffic accident"	"V13.9"	32	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Pedal cyclist injured in collision with heavy transport vehicle or bus, driver injured in traffic accident"	"V14.4"	10	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Driver injured in collision with other and unspecified motor vehicles in traffic accident"	"V19.4"	24	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Unspecified pedal cyclist injured in collision with other and unspecified motor vehicles in traffic accident"	"V19.6"	18	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Pedal cyclist [any] injured in unspecified traffic accident"	"V19.9"	17	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Motorcycle rider injured in collision with pedestrian or animal, passenger injured in traffic accident"	"V20.5"	12	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Motorcycle rider injured in collision with car, pick-up truck or van, driver injured in traffic accident"	"V23.4"	67	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Motorcycle rider injured in collision with car, pick-up truck or van, passenger injured in traffic accident"	"V23.5"	108	227330011	0.0	0.0	0.1	0.0	0.0%
	"30-34 years"	"30-34"	"Motorcycle rider injured in collision with car, pick-up truck or van, unspecified motorcycle rider injured in traffic accident"	"V23.9"	16	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Motorcycle rider injured in collision with fixed or stationary object, driver injured in traffic accident"	"V27.4"	53	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Motorcycle rider injured in collision with fixed or stationary object, passenger injured in traffic accident"	"V27.5"	43	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Motorcycle rider injured in noncollision transport accident, driver injured in traffic accident"	"V28.4"	39	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Motorcycle rider injured in noncollision transport accident, passenger injured in traffic accident"	"V28.5"	62	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Motorcycle rider injured in noncollision transport accident, unspecified motorcycle rider injured in traffic accident"	"V28.9"	15	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Driver injured in collision with other and unspecified motor vehicles in traffic accident"	"V29.4"	39	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Passenger injured in collision with other and unspecified motor vehicles in traffic accident"	"V29.5"	72	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Motorcycle rider [any] injured in unspecified traffic accident"	"V29.9"	176	227330011	0.1	0.1	0.1	0.0	0.0%
	"30-34 years"	"30-34"	"Car occupant injured in collision with pedestrian or animal, driver injured in traffic accident"	"V40.5"	11	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Car occupant injured in collision with car, pick-up truck or van, driver injured in traffic accident"	"V43.5"	1187	227330011	0.5	0.5	0.6	0.0	0.0%
	"30-34 years"	"30-34"	"Car occupant injured in collision with car, pick-up truck or van, passenger injured in traffic accident"	"V43.6"	442	227330011	0.2	0.2	0.2	0.0	0.0%
	"30-34 years"	"30-34"	"Car occupant injured in collision with car, pick-up truck or van, unspecified car occupant injured in traffic accident"	"V43.9"	129	227330011	0.1	0.0	0.1	0.0	0.0%
	"30-34 years"	"30-34"	"Car occupant injured in collision with heavy transport vehicle or bus, driver injured in traffic accident"	"V44.5"	282	227330011	0.1	0.1	0.1	0.0	0.0%
	"30-34 years"	"30-34"	"Car occupant injured in collision with heavy transport vehicle or bus, passenger injured in traffic accident"	"V44.6"	111	227330011	0.0	0.0	0.1	0.0	0.0%
	"30-34 years"	"30-34"	"Car occupant injured in collision with heavy transport vehicle or bus, unspecified car occupant injured in traffic accident"	"V44.9"	25	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Car occupant injured in collision with railway train or railway vehicle, driver injured in traffic accident"	"V45.5"	31	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Car occupant injured in collision with railway train or railway vehicle, passenger injured in traffic accident"	"V45.6"	10	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Car occupant injured in collision with fixed or stationary object, driver injured in traffic accident"	"V47.5"	729	227330011	0.3	0.3	0.3	0.0	0.0%
	"30-34 years"	"30-34"	"Car occupant injured in collision with fixed or stationary object, passenger injured in traffic accident"	"V47.6"	286	227330011	0.1	0.1	0.1	0.0	0.0%
	"30-34 years"	"30-34"	"Car occupant injured in collision with fixed or stationary object, unspecified car occupant injured in traffic accident"	"V47.9"	75	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Car occupant injured in noncollision transport accident, driver injured in traffic accident"	"V48.5"	710	227330011	0.3	0.3	0.3	0.0	0.0%
	"30-34 years"	"30-34"	"Car occupant injured in noncollision transport accident, passenger injured in traffic accident"	"V48.6"	270	227330011	0.1	0.1	0.1	0.0	0.0%
	"30-34 years"	"30-34"	"Car occupant injured in noncollision transport accident, unspecified car occupant injured in traffic accident"	"V48.9"	104	227330011	0.0	0.0	0.1	0.0	0.0%
	"30-34 years"	"30-34"	"Driver injured in collision with other and unspecified motor vehicles in traffic accident"	"V49.4"	229	227330011	0.1	0.1	0.1	0.0	0.0%
	"30-34 years"	"30-34"	"Passenger injured in collision with other and unspecified motor vehicles in traffic accident"	"V49.5"	114	227330011	0.1	0.0	0.1	0.0	0.0%
	"30-34 years"	"30-34"	"Unspecified car occupant injured in collision with other and unspecified motor vehicles in traffic accident"	"V49.6"	52	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Car occupant [any] injured in unspecified traffic accident"	"V49.9"	629	227330011	0.3	0.3	0.3	0.0	0.0%
	"30-34 years"	"30-34"	"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, driver injured in traffic accident"	"V53.5"	93	227330011	0.0	0.0	0.1	0.0	0.0%
	"30-34 years"	"30-34"	"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, passenger injured in traffic accident"	"V53.6"	61	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus, driver injured in traffic accident"	"V54.5"	54	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus, passenger injured in traffic accident"	"V54.6"	29	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Occupant of pick-up truck or van injured in collision with fixed or stationary object, driver injured in traffic accident"	"V57.5"	105	227330011	0.0	0.0	0.1	0.0	0.0%
	"30-34 years"	"30-34"	"Occupant of pick-up truck or van injured in collision with fixed or stationary object, passenger injured in traffic accident"	"V57.6"	65	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Occupant of pick-up truck or van injured in noncollision transport accident, driver injured in traffic accident"	"V58.5"	129	227330011	0.1	0.0	0.1	0.0	0.0%
	"30-34 years"	"30-34"	"Occupant of pick-up truck or van injured in noncollision transport accident, passenger injured in traffic accident"	"V58.6"	91	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Occupant of pick-up truck or van injured in noncollision transport accident, unspecified occupant of pick-up truck or van injured in traffic accident"	"V58.9"	18	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Driver injured in collision with other and unspecified motor vehicles in traffic accident"	"V59.4"	13	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Passenger injured in collision with other and unspecified motor vehicles in traffic accident"	"V59.5"	17	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Occupant [any] of pick-up truck or van injured in unspecified traffic accident"	"V59.9"	35	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Rider or occupant injured by fall from or being thrown from animal or animal-drawn vehicle in noncollision accident"	"V80.0"	35	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Driver of all-terrain or other off-road motor vehicle injured in traffic accident"	"V86.0"	23	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Passenger of all-terrain or other off-road motor vehicle injured in traffic accident"	"V86.1"	32	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Unspecified occupant of all-terrain or other off-road motor vehicle injured in traffic accident"	"V86.3"	14	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Driver of all-terrain or other off-road motor vehicle injured in nontraffic accident"	"V86.5"	44	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Passenger of all-terrain or other off-road motor vehicle injured in nontraffic accident"	"V86.6"	21	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Unspecified occupant of all-terrain or other off-road motor vehicle injured in nontraffic accident"	"V86.9"	57	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Person injured in collision between car and two- or three-wheeled motor vehicle (traffic)"	"V87.0"	12	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Person injured in collision between other motor vehicle and two- or three-wheeled motor vehicle (traffic)"	"V87.1"	14	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Person injured in collision between car and pick-up truck or van (traffic)"	"V87.2"	47	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Person injured in collision between car and heavy transport vehicle (traffic)"	"V87.4"	37	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Person injured in collision between other specified motor vehicles (traffic)"	"V87.7"	2058	227330011	0.9	0.9	0.9	0.0	0.0%
	"30-34 years"	"30-34"	"Person injured in other specified noncollision transport accidents involving motor vehicle (traffic)"	"V87.8"	47	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Person injured in unspecified motor-vehicle accident, nontraffic"	"V89.0"	38	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	5162	227330011	2.3	2.2	2.3	0.0	0.0%
	"30-34 years"	"30-34"	"Person injured in unspecified vehicle accident"	"V89.9"	63	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Accident to watercraft causing drowning and submersion, unspecified watercraft, boat NOS, ship NOS, or watercraft NOS"	"V90.9"	22	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Accident to watercraft causing other injury, unspecified watercraft, boat NOS, ship NOS, or watercraft NOS"	"V91.9"	20	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Water-transport-related drowning and submersion without accident to watercraft, unspecified watercraft, boat NOS, ship NOS, or watercraft NOS"	"V92.9"	14	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Other and unspecified water transport accidents, unspecified watercraft, boat NOS, ship NOS, or watercraft NOS"	"V94.9"	17	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Helicopter accident injuring occupant"	"V95.0"	18	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Accident to commercial fixed-wing aircraft, injuring occupant"	"V95.3"	11	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Unspecified aircraft accident injuring occupant"	"V95.9"	90	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Fall on same level involving ice and snow"	"W00"	12	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Fall on same level from slipping, tripping and stumbling"	"W01"	14	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Fall involving bed"	"W06"	12	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Fall on and from stairs and steps"	"W10"	94	227330011	0.0	0.0	0.1	0.0	0.0%
	"30-34 years"	"30-34"	"Fall from, out of or through building or structure"	"W13"	46	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Fall from cliff"	"W15"	18	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Other fall from one level to another"	"W17"	70	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Other fall on same level"	"W18"	121	227330011	0.1	0.0	0.1	0.0	0.0%
	"30-34 years"	"30-34"	"Unspecified fall"	"W19"	218	227330011	0.1	0.1	0.1	0.0	0.0%
	"30-34 years"	"30-34"	"Struck by thrown, projected or falling object"	"W20"	56	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Striking against or struck by other objects"	"W22"	12	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Caught, crushed, jammed or pinched in or between objects"	"W23"	13	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Contact with other and unspecified machinery"	"W31"	19	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Handgun discharge"	"W32"	21	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Discharge from other and unspecified firearms"	"W34"	99	227330011	0.0	0.0	0.1	0.0	0.0%
	"30-34 years"	"30-34"	"Explosion of other materials"	"W40"	17	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Exposure to other and unspecified inanimate mechanical forces"	"W49"	13	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Bitten or struck by other mammals"	"W55"	22	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Drowning and submersion while in bath-tub"	"W65"	245	227330011	0.1	0.1	0.1	0.0	0.0%
	"30-34 years"	"30-34"	"Drowning and submersion following fall into bath-tub"	"W66"	12	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Drowning and submersion while in swimming-pool"	"W67"	75	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Drowning and submersion while in natural water"	"W69"	203	227330011	0.1	0.1	0.1	0.0	0.0%
	"30-34 years"	"30-34"	"Drowning and submersion following fall into natural water"	"W70"	22	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Other specified drowning and submersion"	"W73"	25	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Unspecified drowning and submersion"	"W74"	139	227330011	0.1	0.1	0.1	0.0	0.0%
	"30-34 years"	"30-34"	"Accidental suffocation and strangulation in bed"	"W75"	24	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Other accidental hanging and strangulation"	"W76"	44	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Inhalation of gastric contents"	"W78"	57	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Inhalation and ingestion of food causing obstruction of respiratory tract"	"W79"	107	227330011	0.0	0.0	0.1	0.0	0.0%
	"30-34 years"	"30-34"	"Inhalation and ingestion of other objects causing obstruction of respiratory tract"	"W80"	189	227330011	0.1	0.1	0.1	0.0	0.0%
	"30-34 years"	"30-34"	"Other specified threats to breathing"	"W83"	26	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Unspecified threat to breathing"	"W84"	95	227330011	0.0	0.0	0.1	0.0	0.0%
	"30-34 years"	"30-34"	"Exposure to other specified electric current"	"W86"	13	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Exposure to unspecified electric current"	"W87"	10	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Exposure to uncontrolled fire in building or structure"	"X00"	699	227330011	0.3	0.3	0.3	0.0	0.0%
	"30-34 years"	"30-34"	"Exposure to unspecified smoke, fire and flames"	"X09"	27	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Exposure to excessive natural heat"	"X30"	48	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Exposure to excessive natural cold"	"X31"	67	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Victim of lightning"	"X33"	12	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Victim of cataclysmic storm"	"X37"	48	227330011	0.0	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Victim of flood"	"X38"	16	227330011	Unreliable	0.0	0.0	0.0	0.0%
	"30-34 years"	"30-34"	"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X40"	211	227330011	0.1	0.1	0.1	0.0	0.0%
	"30-34 years"	"30-34"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	1687	227330011	0.7	0.7	0.8	0.0	0.0%
	"30-34 years"	"30-34"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	10694	227330011	4.7	4.6	4.8	0.0	0.0%
	"30-34 years"	"30-34"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	13588	227330011	6.0	5.9	6.1	0.1	0.0%
	"30-34 years"	"30-34"	"Accidental poisoning by and exposure to alcohol"	"X45"	506	227330011	0.2	0.2	0.2	0.0	0.0%
	"30-34 years"	"30-34"	"Accidental poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours"	"X46"	26	227330011	0.0	0.0	0.0	0.0	0.0%
