"Notes"	"Cause of death"	"Cause of death Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Deaths"	"Population"	"Crude Rate"	"Crude Rate Lower 95% Confidence Interval"	"Crude Rate Upper 95% Confidence Interval"	"Crude Rate Standard Error"	"% of Total Deaths"
	"Disorder of pituitary gland, unspecified"	"E23.7"	"80-84 years"	"80-84"	19	49947616	Unreliable	0.0	0.1	0.0	0.0%
	"Disorder of pituitary gland, unspecified"	"E23.7"	"85-89 years"	"85-89"	17	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Disorder of pituitary gland, unspecified"	"E23.7"	"90-94 years"	"90-94"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Cushing syndrome, unspecified"	"E24.9"	"45-49 years"	"45-49"	10	232932105	Unreliable	0.0	0.0	0.0	0.0%
	"Cushing syndrome, unspecified"	"E24.9"	"50-54 years"	"50-54"	11	223575070	Unreliable	0.0	0.0	0.0	0.0%
	"Cushing syndrome, unspecified"	"E24.9"	"55-59 years"	"55-59"	21	201411886	0.0	0.0	0.0	0.0	0.0%
	"Cushing syndrome, unspecified"	"E24.9"	"60-64 years "	"60-64"	10	168055475	Unreliable	0.0	0.0	0.0	0.0%
	"Cushing syndrome, unspecified"	"E24.9"	"65-69 years"	"65-69"	10	133793292	Unreliable	0.0	0.0	0.0	0.0%
	"Cushing syndrome, unspecified"	"E24.9"	"70-74 years"	"70-74"	21	102736281	0.0	0.0	0.0	0.0	0.0%
	"Cushing syndrome, unspecified"	"E24.9"	"75-79 years"	"75-79"	11	75129413	Unreliable	0.0	0.0	0.0	0.0%
	"Cushing syndrome, unspecified"	"E24.9"	"80-84 years"	"80-84"	13	49947616	Unreliable	0.0	0.0	0.0	0.0%
	"Congenital adrenogenital disorders associated with enzyme deficiency"	"E25.0"	"< 1 year"	"1"	26	44436653	0.1	0.0	0.1	0.0	0.0%
	"Congenital adrenogenital disorders associated with enzyme deficiency"	"E25.0"	"1-4 years"	"1-4"	14	178140207	Unreliable	0.0	0.0	0.0	0.0%
	"Primary adrenocortical insufficiency"	"E27.1"	"15-19 years"	"15-19"	10	239483577	Unreliable	0.0	0.0	0.0	0.0%
	"Primary adrenocortical insufficiency"	"E27.1"	"20-24 years"	"20-24"	35	239951389	0.0	0.0	0.0	0.0	0.0%
	"Primary adrenocortical insufficiency"	"E27.1"	"25-29 years"	"25-29"	38	234285878	0.0	0.0	0.0	0.0	0.0%
	"Primary adrenocortical insufficiency"	"E27.1"	"30-34 years"	"30-34"	35	229872405	0.0	0.0	0.0	0.0	0.0%
	"Primary adrenocortical insufficiency"	"E27.1"	"35-39 years"	"35-39"	33	230611430	0.0	0.0	0.0	0.0	0.0%
	"Primary adrenocortical insufficiency"	"E27.1"	"40-44 years"	"40-44"	46	232968123	0.0	0.0	0.0	0.0	0.0%
	"Primary adrenocortical insufficiency"	"E27.1"	"45-49 years"	"45-49"	36	232932105	0.0	0.0	0.0	0.0	0.0%
	"Primary adrenocortical insufficiency"	"E27.1"	"50-54 years"	"50-54"	55	223575070	0.0	0.0	0.0	0.0	0.0%
	"Primary adrenocortical insufficiency"	"E27.1"	"55-59 years"	"55-59"	51	201411886	0.0	0.0	0.0	0.0	0.0%
	"Primary adrenocortical insufficiency"	"E27.1"	"60-64 years "	"60-64"	52	168055475	0.0	0.0	0.0	0.0	0.0%
	"Primary adrenocortical insufficiency"	"E27.1"	"65-69 years"	"65-69"	58	133793292	0.0	0.0	0.1	0.0	0.0%
	"Primary adrenocortical insufficiency"	"E27.1"	"70-74 years"	"70-74"	44	102736281	0.0	0.0	0.1	0.0	0.0%
	"Primary adrenocortical insufficiency"	"E27.1"	"75-79 years"	"75-79"	76	75129413	0.1	0.1	0.1	0.0	0.0%
	"Primary adrenocortical insufficiency"	"E27.1"	"80-84 years"	"80-84"	82	49947616	0.2	0.1	0.2	0.0	0.0%
	"Primary adrenocortical insufficiency"	"E27.1"	"85-89 years"	"85-89"	75	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Primary adrenocortical insufficiency"	"E27.1"	"90-94 years"	"90-94"	40	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Addisonian crisis"	"E27.2"	"60-64 years "	"60-64"	10	168055475	Unreliable	0.0	0.0	0.0	0.0%
	"Addisonian crisis"	"E27.2"	"65-69 years"	"65-69"	13	133793292	Unreliable	0.0	0.0	0.0	0.0%
	"Addisonian crisis"	"E27.2"	"75-79 years"	"75-79"	13	75129413	Unreliable	0.0	0.0	0.0	0.0%
	"Other and unspecified adrenocortical insufficiency"	"E27.4"	"< 1 year"	"1"	36	44436653	0.1	0.1	0.1	0.0	0.0%
	"Other and unspecified adrenocortical insufficiency"	"E27.4"	"1-4 years"	"1-4"	11	178140207	Unreliable	0.0	0.0	0.0	0.0%
	"Other and unspecified adrenocortical insufficiency"	"E27.4"	"20-24 years"	"20-24"	21	239951389	0.0	0.0	0.0	0.0	0.0%
	"Other and unspecified adrenocortical insufficiency"	"E27.4"	"25-29 years"	"25-29"	14	234285878	Unreliable	0.0	0.0	0.0	0.0%
	"Other and unspecified adrenocortical insufficiency"	"E27.4"	"30-34 years"	"30-34"	12	229872405	Unreliable	0.0	0.0	0.0	0.0%
	"Other and unspecified adrenocortical insufficiency"	"E27.4"	"35-39 years"	"35-39"	21	230611430	0.0	0.0	0.0	0.0	0.0%
	"Other and unspecified adrenocortical insufficiency"	"E27.4"	"40-44 years"	"40-44"	28	232968123	0.0	0.0	0.0	0.0	0.0%
	"Other and unspecified adrenocortical insufficiency"	"E27.4"	"45-49 years"	"45-49"	40	232932105	0.0	0.0	0.0	0.0	0.0%
	"Other and unspecified adrenocortical insufficiency"	"E27.4"	"50-54 years"	"50-54"	63	223575070	0.0	0.0	0.0	0.0	0.0%
	"Other and unspecified adrenocortical insufficiency"	"E27.4"	"55-59 years"	"55-59"	81	201411886	0.0	0.0	0.0	0.0	0.0%
	"Other and unspecified adrenocortical insufficiency"	"E27.4"	"60-64 years "	"60-64"	86	168055475	0.1	0.0	0.1	0.0	0.0%
	"Other and unspecified adrenocortical insufficiency"	"E27.4"	"65-69 years"	"65-69"	84	133793292	0.1	0.1	0.1	0.0	0.0%
	"Other and unspecified adrenocortical insufficiency"	"E27.4"	"70-74 years"	"70-74"	114	102736281	0.1	0.1	0.1	0.0	0.0%
	"Other and unspecified adrenocortical insufficiency"	"E27.4"	"75-79 years"	"75-79"	137	75129413	0.2	0.2	0.2	0.0	0.0%
	"Other and unspecified adrenocortical insufficiency"	"E27.4"	"80-84 years"	"80-84"	168	49947616	0.3	0.3	0.4	0.0	0.0%
	"Other and unspecified adrenocortical insufficiency"	"E27.4"	"85-89 years"	"85-89"	122	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Other and unspecified adrenocortical insufficiency"	"E27.4"	"90-94 years"	"90-94"	53	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Other and unspecified adrenocortical insufficiency"	"E27.4"	"95-99 years"	"95-99"	16	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Disorder of adrenal gland, unspecified"	"E27.9"	"55-59 years"	"55-59"	18	201411886	Unreliable	0.0	0.0	0.0	0.0%
	"Disorder of adrenal gland, unspecified"	"E27.9"	"60-64 years "	"60-64"	19	168055475	Unreliable	0.0	0.0	0.0	0.0%
	"Disorder of adrenal gland, unspecified"	"E27.9"	"65-69 years"	"65-69"	20	133793292	0.0	0.0	0.0	0.0	0.0%
	"Disorder of adrenal gland, unspecified"	"E27.9"	"70-74 years"	"70-74"	23	102736281	0.0	0.0	0.0	0.0	0.0%
	"Disorder of adrenal gland, unspecified"	"E27.9"	"75-79 years"	"75-79"	26	75129413	0.0	0.0	0.1	0.0	0.0%
	"Disorder of adrenal gland, unspecified"	"E27.9"	"80-84 years"	"80-84"	32	49947616	0.1	0.0	0.1	0.0	0.0%
	"Disorder of adrenal gland, unspecified"	"E27.9"	"85-89 years"	"85-89"	30	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Disorder of adrenal gland, unspecified"	"E27.9"	"90-94 years"	"90-94"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Persistent hyperplasia of thymus"	"E32.0"	"< 1 year"	"1"	11	44436653	Unreliable	0.0	0.0	0.0	0.0%
	"Carcinoid syndrome"	"E34.0"	"45-49 years"	"45-49"	12	232932105	Unreliable	0.0	0.0	0.0	0.0%
	"Carcinoid syndrome"	"E34.0"	"50-54 years"	"50-54"	18	223575070	Unreliable	0.0	0.0	0.0	0.0%
	"Carcinoid syndrome"	"E34.0"	"55-59 years"	"55-59"	33	201411886	0.0	0.0	0.0	0.0	0.0%
	"Carcinoid syndrome"	"E34.0"	"60-64 years "	"60-64"	58	168055475	0.0	0.0	0.0	0.0	0.0%
	"Carcinoid syndrome"	"E34.0"	"65-69 years"	"65-69"	73	133793292	0.1	0.0	0.1	0.0	0.0%
	"Carcinoid syndrome"	"E34.0"	"70-74 years"	"70-74"	96	102736281	0.1	0.1	0.1	0.0	0.0%
	"Carcinoid syndrome"	"E34.0"	"75-79 years"	"75-79"	114	75129413	0.2	0.1	0.2	0.0	0.0%
	"Carcinoid syndrome"	"E34.0"	"80-84 years"	"80-84"	76	49947616	0.2	0.1	0.2	0.0	0.0%
	"Carcinoid syndrome"	"E34.0"	"85-89 years"	"85-89"	52	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Carcinoid syndrome"	"E34.0"	"90-94 years"	"90-94"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Short stature, not elsewhere classified"	"E34.3"	"< 1 year"	"1"	92	44436653	0.2	0.2	0.3	0.0	0.0%
	"Nutritional marasmus"	"E41"	"50-54 years"	"50-54"	21	223575070	0.0	0.0	0.0	0.0	0.0%
	"Nutritional marasmus"	"E41"	"55-59 years"	"55-59"	33	201411886	0.0	0.0	0.0	0.0	0.0%
	"Nutritional marasmus"	"E41"	"60-64 years "	"60-64"	30	168055475	0.0	0.0	0.0	0.0	0.0%
	"Nutritional marasmus"	"E41"	"65-69 years"	"65-69"	52	133793292	0.0	0.0	0.1	0.0	0.0%
	"Nutritional marasmus"	"E41"	"70-74 years"	"70-74"	59	102736281	0.1	0.0	0.1	0.0	0.0%
	"Nutritional marasmus"	"E41"	"75-79 years"	"75-79"	77	75129413	0.1	0.1	0.1	0.0	0.0%
	"Nutritional marasmus"	"E41"	"80-84 years"	"80-84"	143	49947616	0.3	0.2	0.3	0.0	0.0%
	"Nutritional marasmus"	"E41"	"85-89 years"	"85-89"	127	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Nutritional marasmus"	"E41"	"90-94 years"	"90-94"	111	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Nutritional marasmus"	"E41"	"95-99 years"	"95-99"	39	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Unspecified severe protein-energy malnutrition"	"E43"	"< 1 year"	"1"	14	44436653	Unreliable	0.0	0.1	0.0	0.0%
	"Unspecified severe protein-energy malnutrition"	"E43"	"20-24 years"	"20-24"	20	239951389	0.0	0.0	0.0	0.0	0.0%
	"Unspecified severe protein-energy malnutrition"	"E43"	"25-29 years"	"25-29"	27	234285878	0.0	0.0	0.0	0.0	0.0%
	"Unspecified severe protein-energy malnutrition"	"E43"	"30-34 years"	"30-34"	44	229872405	0.0	0.0	0.0	0.0	0.0%
	"Unspecified severe protein-energy malnutrition"	"E43"	"35-39 years"	"35-39"	47	230611430	0.0	0.0	0.0	0.0	0.0%
	"Unspecified severe protein-energy malnutrition"	"E43"	"40-44 years"	"40-44"	108	232968123	0.0	0.0	0.1	0.0	0.0%
	"Unspecified severe protein-energy malnutrition"	"E43"	"45-49 years"	"45-49"	161	232932105	0.1	0.1	0.1	0.0	0.0%
	"Unspecified severe protein-energy malnutrition"	"E43"	"50-54 years"	"50-54"	289	223575070	0.1	0.1	0.1	0.0	0.0%
	"Unspecified severe protein-energy malnutrition"	"E43"	"55-59 years"	"55-59"	494	201411886	0.2	0.2	0.3	0.0	0.0%
	"Unspecified severe protein-energy malnutrition"	"E43"	"60-64 years "	"60-64"	749	168055475	0.4	0.4	0.5	0.0	0.0%
	"Unspecified severe protein-energy malnutrition"	"E43"	"65-69 years"	"65-69"	1019	133793292	0.8	0.7	0.8	0.0	0.0%
	"Unspecified severe protein-energy malnutrition"	"E43"	"70-74 years"	"70-74"	1326	102736281	1.3	1.2	1.4	0.0	0.0%
	"Unspecified severe protein-energy malnutrition"	"E43"	"75-79 years"	"75-79"	1686	75129413	2.2	2.1	2.4	0.1	0.0%
	"Unspecified severe protein-energy malnutrition"	"E43"	"80-84 years"	"80-84"	2019	49947616	4.0	3.9	4.2	0.1	0.0%
	"Unspecified severe protein-energy malnutrition"	"E43"	"85-89 years"	"85-89"	2185	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Unspecified severe protein-energy malnutrition"	"E43"	"90-94 years"	"90-94"	1707	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Unspecified severe protein-energy malnutrition"	"E43"	"95-99 years"	"95-99"	731	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Unspecified severe protein-energy malnutrition"	"E43"	"100+ years"	"100+"	110	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Moderate protein-energy malnutrition"	"E44.0"	"65-69 years"	"65-69"	21	133793292	0.0	0.0	0.0	0.0	0.0%
	"Moderate protein-energy malnutrition"	"E44.0"	"70-74 years"	"70-74"	20	102736281	0.0	0.0	0.0	0.0	0.0%
	"Moderate protein-energy malnutrition"	"E44.0"	"75-79 years"	"75-79"	35	75129413	0.0	0.0	0.1	0.0	0.0%
	"Moderate protein-energy malnutrition"	"E44.0"	"80-84 years"	"80-84"	46	49947616	0.1	0.1	0.1	0.0	0.0%
	"Moderate protein-energy malnutrition"	"E44.0"	"85-89 years"	"85-89"	60	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Moderate protein-energy malnutrition"	"E44.0"	"90-94 years"	"90-94"	64	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Moderate protein-energy malnutrition"	"E44.0"	"95-99 years"	"95-99"	29	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Mild protein-energy malnutrition"	"E44.1"	"90-94 years"	"90-94"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Mild protein-energy malnutrition"	"E44.1"	"95-99 years"	"95-99"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Retarded development following protein-energy malnutrition"	"E45"	"50-54 years"	"50-54"	11	223575070	Unreliable	0.0	0.0	0.0	0.0%
	"Retarded development following protein-energy malnutrition"	"E45"	"55-59 years"	"55-59"	25	201411886	0.0	0.0	0.0	0.0	0.0%
	"Retarded development following protein-energy malnutrition"	"E45"	"60-64 years "	"60-64"	59	168055475	0.0	0.0	0.0	0.0	0.0%
	"Retarded development following protein-energy malnutrition"	"E45"	"65-69 years"	"65-69"	73	133793292	0.1	0.0	0.1	0.0	0.0%
	"Retarded development following protein-energy malnutrition"	"E45"	"70-74 years"	"70-74"	85	102736281	0.1	0.1	0.1	0.0	0.0%
	"Retarded development following protein-energy malnutrition"	"E45"	"75-79 years"	"75-79"	160	75129413	0.2	0.2	0.2	0.0	0.0%
	"Retarded development following protein-energy malnutrition"	"E45"	"80-84 years"	"80-84"	216	49947616	0.4	0.4	0.5	0.0	0.0%
	"Retarded development following protein-energy malnutrition"	"E45"	"85-89 years"	"85-89"	278	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Retarded development following protein-energy malnutrition"	"E45"	"90-94 years"	"90-94"	230	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Retarded development following protein-energy malnutrition"	"E45"	"95-99 years"	"95-99"	96	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Retarded development following protein-energy malnutrition"	"E45"	"100+ years"	"100+"	23	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Unspecified protein-energy malnutrition"	"E46"	"< 1 year"	"1"	60	44436653	0.1	0.1	0.2	0.0	0.0%
	"Unspecified protein-energy malnutrition"	"E46"	"1-4 years"	"1-4"	15	178140207	Unreliable	0.0	0.0	0.0	0.0%
	"Unspecified protein-energy malnutrition"	"E46"	"10-14 years"	"10-14"	12	234284030	Unreliable	0.0	0.0	0.0	0.0%
	"Unspecified protein-energy malnutrition"	"E46"	"15-19 years"	"15-19"	16	239483577	Unreliable	0.0	0.0	0.0	0.0%
	"Unspecified protein-energy malnutrition"	"E46"	"20-24 years"	"20-24"	38	239951389	0.0	0.0	0.0	0.0	0.0%
	"Unspecified protein-energy malnutrition"	"E46"	"25-29 years"	"25-29"	60	234285878	0.0	0.0	0.0	0.0	0.0%
	"Unspecified protein-energy malnutrition"	"E46"	"30-34 years"	"30-34"	53	229872405	0.0	0.0	0.0	0.0	0.0%
	"Unspecified protein-energy malnutrition"	"E46"	"35-39 years"	"35-39"	101	230611430	0.0	0.0	0.1	0.0	0.0%
	"Unspecified protein-energy malnutrition"	"E46"	"40-44 years"	"40-44"	150	232968123	0.1	0.1	0.1	0.0	0.0%
	"Unspecified protein-energy malnutrition"	"E46"	"45-49 years"	"45-49"	295	232932105	0.1	0.1	0.1	0.0	0.0%
	"Unspecified protein-energy malnutrition"	"E46"	"50-54 years"	"50-54"	441	223575070	0.2	0.2	0.2	0.0	0.0%
	"Unspecified protein-energy malnutrition"	"E46"	"55-59 years"	"55-59"	736	201411886	0.4	0.3	0.4	0.0	0.0%
	"Unspecified protein-energy malnutrition"	"E46"	"60-64 years "	"60-64"	1070	168055475	0.6	0.6	0.7	0.0	0.0%
	"Unspecified protein-energy malnutrition"	"E46"	"65-69 years"	"65-69"	1456	133793292	1.1	1.0	1.1	0.0	0.0%
	"Unspecified protein-energy malnutrition"	"E46"	"70-74 years"	"70-74"	1953	102736281	1.9	1.8	2.0	0.0	0.0%
	"Unspecified protein-energy malnutrition"	"E46"	"75-79 years"	"75-79"	2754	75129413	3.7	3.5	3.8	0.1	0.0%
	"Unspecified protein-energy malnutrition"	"E46"	"80-84 years"	"80-84"	3882	49947616	7.8	7.5	8.0	0.1	0.0%
	"Unspecified protein-energy malnutrition"	"E46"	"85-89 years"	"85-89"	4491	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Unspecified protein-energy malnutrition"	"E46"	"90-94 years"	"90-94"	3755	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Unspecified protein-energy malnutrition"	"E46"	"95-99 years"	"95-99"	1609	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Unspecified protein-energy malnutrition"	"E46"	"100+ years"	"100+"	314	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Wernicke encephalopathy"	"E51.2"	"45-49 years"	"45-49"	12	232932105	Unreliable	0.0	0.0	0.0	0.0%
	"Wernicke encephalopathy"	"E51.2"	"50-54 years"	"50-54"	26	223575070	0.0	0.0	0.0	0.0	0.0%
	"Wernicke encephalopathy"	"E51.2"	"55-59 years"	"55-59"	50	201411886	0.0	0.0	0.0	0.0	0.0%
	"Wernicke encephalopathy"	"E51.2"	"60-64 years "	"60-64"	86	168055475	0.1	0.0	0.1	0.0	0.0%
	"Wernicke encephalopathy"	"E51.2"	"65-69 years"	"65-69"	108	133793292	0.1	0.1	0.1	0.0	0.0%
	"Wernicke encephalopathy"	"E51.2"	"70-74 years"	"70-74"	86	102736281	0.1	0.1	0.1	0.0	0.0%
	"Wernicke encephalopathy"	"E51.2"	"75-79 years"	"75-79"	59	75129413	0.1	0.1	0.1	0.0	0.0%
	"Wernicke encephalopathy"	"E51.2"	"80-84 years"	"80-84"	41	49947616	0.1	0.1	0.1	0.0	0.0%
	"Wernicke encephalopathy"	"E51.2"	"85-89 years"	"85-89"	25	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Wernicke encephalopathy"	"E51.2"	"90-94 years"	"90-94"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Deficiency of other specified B group vitamins"	"E53.8"	"70-74 years"	"70-74"	15	102736281	Unreliable	0.0	0.0	0.0	0.0%
	"Deficiency of other specified B group vitamins"	"E53.8"	"75-79 years"	"75-79"	28	75129413	0.0	0.0	0.1	0.0	0.0%
	"Deficiency of other specified B group vitamins"	"E53.8"	"80-84 years"	"80-84"	42	49947616	0.1	0.1	0.1	0.0	0.0%
	"Deficiency of other specified B group vitamins"	"E53.8"	"85-89 years"	"85-89"	74	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Deficiency of other specified B group vitamins"	"E53.8"	"90-94 years"	"90-94"	52	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Deficiency of other specified B group vitamins"	"E53.8"	"95-99 years"	"95-99"	24	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Nutritional deficiency, unspecified"	"E63.9"	"50-54 years"	"50-54"	15	223575070	Unreliable	0.0	0.0	0.0	0.0%
	"Nutritional deficiency, unspecified"	"E63.9"	"55-59 years"	"55-59"	15	201411886	Unreliable	0.0	0.0	0.0	0.0%
	"Nutritional deficiency, unspecified"	"E63.9"	"60-64 years "	"60-64"	37	168055475	0.0	0.0	0.0	0.0	0.0%
	"Nutritional deficiency, unspecified"	"E63.9"	"65-69 years"	"65-69"	45	133793292	0.0	0.0	0.0	0.0	0.0%
	"Nutritional deficiency, unspecified"	"E63.9"	"70-74 years"	"70-74"	70	102736281	0.1	0.1	0.1	0.0	0.0%
	"Nutritional deficiency, unspecified"	"E63.9"	"75-79 years"	"75-79"	99	75129413	0.1	0.1	0.2	0.0	0.0%
	"Nutritional deficiency, unspecified"	"E63.9"	"80-84 years"	"80-84"	129	49947616	0.3	0.2	0.3	0.0	0.0%
	"Nutritional deficiency, unspecified"	"E63.9"	"85-89 years"	"85-89"	157	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Nutritional deficiency, unspecified"	"E63.9"	"90-94 years"	"90-94"	151	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Nutritional deficiency, unspecified"	"E63.9"	"95-99 years"	"95-99"	57	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Nutritional deficiency, unspecified"	"E63.9"	"100+ years"	"100+"	15	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Sequelae of protein-energy malnutrition"	"E64.0"	"70-74 years"	"70-74"	11	102736281	Unreliable	0.0	0.0	0.0	0.0%
	"Sequelae of protein-energy malnutrition"	"E64.0"	"75-79 years"	"75-79"	29	75129413	0.0	0.0	0.1	0.0	0.0%
	"Sequelae of protein-energy malnutrition"	"E64.0"	"80-84 years"	"80-84"	23	49947616	0.0	0.0	0.1	0.0	0.0%
	"Sequelae of protein-energy malnutrition"	"E64.0"	"85-89 years"	"85-89"	23	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Sequelae of protein-energy malnutrition"	"E64.0"	"90-94 years"	"90-94"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Obesity due to excess calories"	"E66.0"	"30-34 years"	"30-34"	10	229872405	Unreliable	0.0	0.0	0.0	0.0%
	"Obesity due to excess calories"	"E66.0"	"35-39 years"	"35-39"	21	230611430	0.0	0.0	0.0	0.0	0.0%
	"Obesity due to excess calories"	"E66.0"	"40-44 years"	"40-44"	38	232968123	0.0	0.0	0.0	0.0	0.0%
	"Obesity due to excess calories"	"E66.0"	"45-49 years"	"45-49"	34	232932105	0.0	0.0	0.0	0.0	0.0%
	"Obesity due to excess calories"	"E66.0"	"50-54 years"	"50-54"	51	223575070	0.0	0.0	0.0	0.0	0.0%
	"Obesity due to excess calories"	"E66.0"	"55-59 years"	"55-59"	54	201411886	0.0	0.0	0.0	0.0	0.0%
	"Obesity due to excess calories"	"E66.0"	"60-64 years "	"60-64"	38	168055475	0.0	0.0	0.0	0.0	0.0%
	"Obesity due to excess calories"	"E66.0"	"65-69 years"	"65-69"	28	133793292	0.0	0.0	0.0	0.0	0.0%
	"Obesity due to excess calories"	"E66.0"	"70-74 years"	"70-74"	22	102736281	0.0	0.0	0.0	0.0	0.0%
	"Obesity due to excess calories"	"E66.0"	"75-79 years"	"75-79"	15	75129413	Unreliable	0.0	0.0	0.0	0.0%
	"Extreme obesity with alveolar hypoventilation"	"E66.2"	"15-19 years"	"15-19"	10	239483577	Unreliable	0.0	0.0	0.0	0.0%
	"Extreme obesity with alveolar hypoventilation"	"E66.2"	"20-24 years"	"20-24"	10	239951389	Unreliable	0.0	0.0	0.0	0.0%
	"Extreme obesity with alveolar hypoventilation"	"E66.2"	"25-29 years"	"25-29"	36	234285878	0.0	0.0	0.0	0.0	0.0%
	"Extreme obesity with alveolar hypoventilation"	"E66.2"	"30-34 years"	"30-34"	53	229872405	0.0	0.0	0.0	0.0	0.0%
	"Extreme obesity with alveolar hypoventilation"	"E66.2"	"35-39 years"	"35-39"	89	230611430	0.0	0.0	0.0	0.0	0.0%
	"Extreme obesity with alveolar hypoventilation"	"E66.2"	"40-44 years"	"40-44"	114	232968123	0.0	0.0	0.1	0.0	0.0%
	"Extreme obesity with alveolar hypoventilation"	"E66.2"	"45-49 years"	"45-49"	189	232932105	0.1	0.1	0.1	0.0	0.0%
	"Extreme obesity with alveolar hypoventilation"	"E66.2"	"50-54 years"	"50-54"	240	223575070	0.1	0.1	0.1	0.0	0.0%
	"Extreme obesity with alveolar hypoventilation"	"E66.2"	"55-59 years"	"55-59"	280	201411886	0.1	0.1	0.2	0.0	0.0%
	"Extreme obesity with alveolar hypoventilation"	"E66.2"	"60-64 years "	"60-64"	313	168055475	0.2	0.2	0.2	0.0	0.0%
	"Extreme obesity with alveolar hypoventilation"	"E66.2"	"65-69 years"	"65-69"	347	133793292	0.3	0.2	0.3	0.0	0.0%
	"Extreme obesity with alveolar hypoventilation"	"E66.2"	"70-74 years"	"70-74"	295	102736281	0.3	0.3	0.3	0.0	0.0%
	"Extreme obesity with alveolar hypoventilation"	"E66.2"	"75-79 years"	"75-79"	195	75129413	0.3	0.2	0.3	0.0	0.0%
	"Extreme obesity with alveolar hypoventilation"	"E66.2"	"80-84 years"	"80-84"	140	49947616	0.3	0.2	0.3	0.0	0.0%
	"Extreme obesity with alveolar hypoventilation"	"E66.2"	"85-89 years"	"85-89"	47	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Extreme obesity with alveolar hypoventilation"	"E66.2"	"90-94 years"	"90-94"	15	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Other obesity"	"E66.8"	"10-14 years"	"10-14"	22	234284030	0.0	0.0	0.0	0.0	0.0%
	"Other obesity"	"E66.8"	"15-19 years"	"15-19"	132	239483577	0.1	0.0	0.1	0.0	0.0%
